Seed_Variant,Disease_Resistance,Fertilizer_Used,Planting_Date,Harvest_Date,Irrigation_Method,Yield_kg
Variant_A,True,SuperGrow,2023-10-15,2024-02-10,Rainwater,75
Variant_B,False,Organic,2023-10-10,2024-02-15,Manual,68
Variant_C,True,BioMax,2023-10-05,2024-02-20,Soaker_Hose,82
Variant_D,False,Chemical,2023-10-20,2024-03-05,Manual,70
Variant_E,True,CustomMix,2023-10-12,2024-03-10,Rainwater,85
Variant_F,False,Standard,2023-10-08,2024-03-15,Soaker_Hose,72
Variant_G,True,SuperGrow,2023-10-18,2024-03-20,Rainwater,90
Variant_H,False,Organic,2023-10-11,2024-03-25,Manual,78
Variant_I,True,BioMax,2023-10-06,2024-04-05,Soaker_Hose,88
Variant_J,False,Chemical,2023-10-19,2024-04-10,Manual,65
Variant_K,True,CustomMix,2023-10-13,2024-04-15,Rainwater,92
Variant_L,False,Standard,2023-10-07,2024-04-20,Soaker_Hose,76
Variant_M,True,SuperGrow,2023-10-22,2024-04-25,Rainwater,89
Variant_N,False,Organic,2023-10-14,2024-04-30,Manual,74
Variant_O,True,BioMax,2023-10-09,2024-05-05,Soaker_Hose,86
Variant_P,False,Chemical,2023-10-21,2024-05-10,Manual,69
Variant_Q,True,CustomMix,2023-10-16,2024-05-15,Rainwater,91
Variant_R,False,Standard,2023-10-08,2024-05-20,Soaker_Hose,77
Variant_S,True,SuperGrow,2023-10-17,2024-05-25,Rainwater,87
Variant_T,False,Organic,2023-10-11,2024-05-30,Manual,73
Variant_U,True,BioMax,2023-10-06,2024-06-05,Soaker_Hose,85
Variant_V,False,Chemical,2023-10-20,2024-06-10,Manual,6
